run  |     start time      |      end time       | length (min)
6517 | 2020-02-19 13:15:55 | 2020-02-19 14:00:20 | 44.4167 
6518 | 2020-02-19 14:01:05 | 2020-02-19 15:00:08 | 59.0500 
6519 | 2020-02-19 15:00:41 | 2020-02-19 16:00:06 | 59.4167 
6520 | 2020-02-19 16:00:36 | 2020-02-19 16:27:20 | 26.7333 
6522 | 2020-02-19 16:38:24 | 2020-02-19 16:54:32 | 16.1333 
6526 | 2020-02-19 18:11:02 | 2020-02-19 18:59:56 | 48.9000 
6527 | 2020-02-19 19:01:09 | 2020-02-19 20:02:06 | 60.9500 
6528 | 2020-02-19 20:02:43 | 2020-02-19 21:00:04 | 57.3500 
6529 | 2020-02-19 21:00:34 | 2020-02-19 22:00:06 | 59.5333 
6530 | 2020-02-19 22:00:45 | 2020-02-19 23:00:43 | 59.9667 
6531 | 2020-02-19 23:01:09 | 2020-02-20 00:01:28 | 60.3167 
6532 | 2020-02-20 00:02:04 | 2020-02-20 00:59:26 | 57.3667 
6533 | 2020-02-20 01:04:23 | 2020-02-20 02:04:43 | 60.3333 
6534 | 2020-02-20 02:05:56 | 2020-02-20 03:00:09 | 54.2167 
6535 | 2020-02-20 03:00:51 | 2020-02-20 04:05:56 | 65.0833 
6536 | 2020-02-20 04:06:30 | 2020-02-20 05:04:39 | 58.1500 
6537 | 2020-02-20 05:05:32 | 2020-02-20 06:05:20 | 59.8000 
6538 | 2020-02-20 06:06:04 | 2020-02-20 07:03:17 | 57.2167 
6539 | 2020-02-20 07:14:53 | 2020-02-20 08:02:47 | 47.9000 
6540 | 2020-02-20 08:03:38 | 2020-02-20 09:00:07 | 56.4833 
6541 | 2020-02-20 09:00:45 | 2020-02-20 09:29:53 | 29.1333 
6542 | 2020-02-20 09:30:33 | 2020-02-20 10:00:16 | 29.7167 
6543 | 2020-02-20 10:00:52 | 2020-02-20 11:00:15 | 59.3833 
6544 | 2020-02-20 11:02:28 | 2020-02-20 12:00:09 | 57.6833 
6545 | 2020-02-20 12:01:19 | 2020-02-20 13:00:11 | 58.8667 
6563 | 2020-02-21 03:21:09 | 2020-02-21 04:12:38 | 51.4833 
6564 | 2020-02-21 04:14:31 | 2020-02-21 05:07:30 | 52.9833 
6565 | 2020-02-21 05:08:24 | 2020-02-21 06:00:39 | 52.2500 
6566 | 2020-02-21 06:01:14 | 2020-02-21 07:01:47 | 60.5500 
6567 | 2020-02-21 07:02:15 | 2020-02-21 07:54:10 | 51.9167 
6571 | 2020-02-21 08:55:16 | 2020-02-21 09:55:28 | 60.2000 
6572 | 2020-02-21 09:56:11 | 2020-02-21 10:57:15 | 61.0667 
6573 | 2020-02-21 10:58:16 | 2020-02-21 12:00:39 | 62.3833 
6574 | 2020-02-21 12:01:18 | 2020-02-21 13:01:03 | 59.7500 
6575 | 2020-02-21 13:02:19 | 2020-02-21 14:00:59 | 58.6667 
6576 | 2020-02-21 14:01:58 | 2020-02-21 15:00:06 | 58.1333 
6577 | 2020-02-21 15:00:40 | 2020-02-21 16:01:09 | 60.4833 
6578 | 2020-02-21 16:01:45 | 2020-02-21 16:09:49 | 8.0667  
6579 | 2020-02-21 16:13:34 | 2020-02-21 17:00:08 | 46.5667 
6580 | 2020-02-21 17:02:18 | 2020-02-21 18:00:09 | 57.8500 
